Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Bikini,9/2/2016 23:21,103001005CC99F00,11.5904,22.6533,66.2024,97.7434,292.7611,67.3467,112.7611,336.2166025,7.50269244,339.1797663,2.260343124,6.016041557,none
Birnie,1/13/2019 22:06,103001008A282400,-3.5847,11.3818,62.1557,131.5503,88.3523,78.6182,268.3523,337.9532212,-21.37534319,11.40296356,-3.839269209,36.90459848,all
Bokak,3/7/2020 23:16,10300100A33EF700,14.6559,10.5499,58.9831,126.7505,297.9554,79.4501,117.9554,335.5277567,-4.671730649,350.5611836,9.537817172,20.64801232,10
Butaritari,9/14/2018 22:53,103001008434D000,3.152,27.9606,67.4752,89.3088,264.2924,62.0394,84.2924,337.4403726,3.176084075,332.0523201,5.458541358,5.837139287,none
Butaritari,10/21/2016 23:15,103001005F84B800,3.152,27.0341,69.7579,134.8803,97.4521,62.9659,277.4521,345.5332865,-11.08004295,26.95722893,6.190705288,44.69653787,20
Butaritari,5/9/2018 22:58,103001007D46E800,3.152,22.5982,64.53,54.1875,242.4724,67.4018,62.4724,338.5505723,17.51111299,339.5133676,13.18484485,4.424717751,5
Chesterfield_1,6/22/2014 23:57,1030010033AAEE00,-19.2865,10.2231,42.3283,27.7984,176.6615,79.7769,356.6615,337.9586222,23.25759908,0.599712511,-9.079895409,39.19532938,none
Chesterfield_2,6/22/2014 23:58,10300100328E3A00,-19.2865,10.5033,42.2504,28.0773,11.0106,79.4967,191.0106,337.7209945,23.22658735,2.294401713,-29.58090984,57.85167228,5
Chesterfield_3,10/2/2018 23:38,103001008601B100,-19.2865,26.9126,61.3171,59.7146,260.2392,63.0874,80.2392,335.4656116,-3.514285755,332.7738211,-12.8318421,9.690175571,5
Chesterfield_4,4/5/2020 23:58,10300100A459A500,-19.2865,28.5222,55.5086,42.4462,84.4646,61.4778,264.4646,337.3520442,7.01821023,30.2761566,-19.4922997,58.44676073,20
Ducie,9/21/2016 18:30,103001005C8ED600,-24.6811,5.0918,54.979,48.5673,276.0362,84.9082,96.0362,334.5161531,0.177694801,354.4063066,-25.11267898,31.77310586,10
