atoll,copra_history,cocos_kmsq,broadleaf_kmsq,shrub_kmsq,non_veg_kmsq,cloud_cover_kmsq,total_non-cloud_cover_kmsq,cocos_perc,broadleaf_perc,shrub_perc,non_veg_perc,cloud_perc,cocos_fraction_vegetation_perc,cocos_fraction_tree_perc,monocrop_kmsq,monocrop_coconut_kmsq,coconut_fraction_monocrop_perc
Ravahere,,0.207052,0.51576,2.7323,3.897568,0.0,7.35268,2.816007225,7.014585158,37.16059994,53.00880767,0.0,5.992627735,28.64534623,0.094548,0.069764,33.6939513
Rawaki,,0.0,0.00016,0.11364,0.453492,0.0,0.567292,0.0,0.02820417,20.03201173,79.9397841,0.0,0.0,0.0,0.0,0.0,0.0
Reao,,3.880956,1.214496,3.23576,9.537416,0.0,17.868628,21.71938439,6.796806112,18.10860912,53.37520038,0.0,46.58333025,76.16509782,2.87844,2.122252,54.6837429
Reitoru,,,,,,,,,,,,,,,,,
Rekareka,,0.310848,1.185356,0.637448,1.032412,0.038024,3.166064,9.818121175,37.43942005,20.13376862,32.60869016,1.186733947,14.56882378,20.77577657,0.07006,0.052132,16.7708977
Rongelap,,1.405472,3.352396,2.152172,1.741064,0.018504,8.651104,16.24615772,38.75107732,24.87742605,20.12533892,0.213435256,20.33956388,29.53995361,0.677184,0.510872,36.3487853
Rongerik,,0.333768,0.2999,0.862064,0.446404,0.0,1.942136,17.18561419,15.44176103,44.38741674,22.98520804,0.0,22.31469274,52.67237733,0.161064,0.115768,34.6851705
Rose,,0.003016,0.02496,0.022032,0.090036,0.0,0.140044,2.153608866,17.82296992,15.73219845,64.29122276,0.0,6.031035034,10.78066914,0.0,0.0,0.0
Rowa,,0.166944,0.751848,0.4206,0.4224,0.0,1.761792,9.475806452,42.67518527,23.87341979,23.97558849,0.0,12.46416284,18.16994488,0.04108,0.031464,18.8470385
Sama,,,,,,,,,,,,,,,,,
Samasuma,,,,,,,,,,,,,,,,,
