atoll,metric,value
Abaiang,total_reef_extent_kmsq,257.569
Abariringa,total_reef_extent_kmsq,65.755
Abemama,total_reef_extent_kmsq,169.138
Addu,total_reef_extent_kmsq,68.087
Agatti,total_reef_extent_kmsq,31.688
Ahe,total_reef_extent_kmsq,55.933
Ahunui,total_reef_extent_kmsq,13.22
Ailinginae,total_reef_extent_kmsq,81.867
Ailinglaplap,total_reef_extent_kmsq,143.199
Ailuk,total_reef_extent_kmsq,88.018
Aldabra,total_reef_extent_kmsq,242.025
Alphonse,total_reef_extent_kmsq,22.903
Amanu,total_reef_extent_kmsq,62.01
Anaa,total_reef_extent_kmsq,137.894
Analtin,total_reef_extent_kmsq,46.485
Ant,total_reef_extent_kmsq,37.173
Anuanuraro,total_reef_extent_kmsq,14.209
Anuanurunga,total_reef_extent_kmsq,6.226
Apataki,total_reef_extent_kmsq,112.518
Aranuka,total_reef_extent_kmsq,69.272
Aratika,total_reef_extent_kmsq,64.581
Ari,total_reef_extent_kmsq,604.023
Arno,total_reef_extent_kmsq,159.532
Arutua,total_reef_extent_kmsq,203.793
Ashmore,total_reef_extent_kmsq,235.593
Astove,total_reef_extent_kmsq,18.016
Atafu,total_reef_extent_kmsq,24.239
Aur,total_reef_extent_kmsq,59.588
Awin,total_reef_extent_kmsq,8.808
Bangaram,total_reef_extent_kmsq,50.398
Beautemps-Beaupre,total_reef_extent_kmsq,33.34
Bellona,total_reef_extent_kmsq,269.846
Beru,total_reef_extent_kmsq,52.402
Bikar,total_reef_extent_kmsq,55.742
Bikini,total_reef_extent_kmsq,151.45
Birnie,total_reef_extent_kmsq,2.107
Bitra_Par,total_reef_extent_kmsq,71.414
Bokaak,total_reef_extent_kmsq,102.421
Bramble_Haven,total_reef_extent_kmsq,74.095
Budibudi,total_reef_extent_kmsq,20.514
Butaritari,total_reef_extent_kmsq,229.213
Byramgore,total_reef_extent_kmsq,112.151
Caroline,total_reef_extent_kmsq,20.623
Cato,total_reef_extent_kmsq,7.506
Cherbaniani,total_reef_extent_kmsq,52.576
Chesterfield,total_reef_extent_kmsq,454.535
Chetlat,total_reef_extent_kmsq,7.113
Clipperton,total_reef_extent_kmsq,4.752
Conflict,total_reef_extent_kmsq,75.415
Cosmoledo,total_reef_extent_kmsq,153.511
Desroches,total_reef_extent_kmsq,69.255
Diego_Garcia,total_reef_extent_kmsq,108.093
Ducie,total_reef_extent_kmsq,4.717
Eauripik,total_reef_extent_kmsq,20.786
Ebon,total_reef_extent_kmsq,39.345
Egmont,total_reef_extent_kmsq,34.996
Egum,total_reef_extent_kmsq,83.867
Elato,total_reef_extent_kmsq,22.072
Enderbury,total_reef_extent_kmsq,3.543
Eniwetok,total_reef_extent_kmsq,187.057
Erikub,total_reef_extent_kmsq,75.338
Etal,total_reef_extent_kmsq,14.495
Europa,total_reef_extent_kmsq,15.382
Faadhippolhu,total_reef_extent_kmsq,190.723
Faaite,total_reef_extent_kmsq,215.26
Fakahina,total_reef_extent_kmsq,18.822
Fakaofo,total_reef_extent_kmsq,50.492
Fakarava,total_reef_extent_kmsq,392.12
Fangatau,total_reef_extent_kmsq,14.153
Fangataufa,total_reef_extent_kmsq,32.65
Faraulep,total_reef_extent_kmsq,10.335
Farquhar,total_reef_extent_kmsq,188.95
Fasdhuthere,total_reef_extent_kmsq,38.655
Felidhu,total_reef_extent_kmsq,361.919
French_Frigate_Shoals,total_reef_extent_kmsq,493.682
Funafuti,total_reef_extent_kmsq,88.345
Fuvahmulah,total_reef_extent_kmsq,5.903
Gaafaru,total_reef_extent_kmsq,44.371
Glorioso,total_reef_extent_kmsq,83.853
Goidhoo,total_reef_extent_kmsq,61.83
Great_Chagos_Bank,total_reef_extent_kmsq,665.982
Haddhunmathi,total_reef_extent_kmsq,199.443
Hao,total_reef_extent_kmsq,144.637
Haraiki,total_reef_extent_kmsq,22.394
Helen,total_reef_extent_kmsq,97.681
Hereheretue,total_reef_extent_kmsq,31.767
Hikueru,total_reef_extent_kmsq,13.247
Hiti,total_reef_extent_kmsq,17.537
Huon,total_reef_extent_kmsq,85.491
Huvadhu,total_reef_extent_kmsq,488.284
Ifalik,total_reef_extent_kmsq,8.615
Ihavandhippolu,total_reef_extent_kmsq,108.877
Jaluit,total_reef_extent_kmsq,244.591
Jemo,total_reef_extent_kmsq,3.071
Johnston,total_reef_extent_kmsq,45.359
Kaashidhoo,total_reef_extent_kmsq,8.296
Kademat,total_reef_extent_kmsq,31.161
Kalpeni,total_reef_extent_kmsq,33.411
Kapingamarangi,total_reef_extent_kmsq,41.083
Katiu,total_reef_extent_kmsq,93.677
Kauehi,total_reef_extent_kmsq,62.898
Kaukura,total_reef_extent_kmsq,324.588
Kavaratti,total_reef_extent_kmsq,11.014
Kilinailau,total_reef_extent_kmsq,103.261
Kiltan,total_reef_extent_kmsq,6.548
Kiritimati,total_reef_extent_kmsq,152.296
Kolhumadulu,total_reef_extent_kmsq,280.484
Kuop,total_reef_extent_kmsq,54.331
Kure,total_reef_extent_kmsq,64.826
Kuria,total_reef_extent_kmsq,29.521
Kurimarau,total_reef_extent_kmsq,3.712
Kwajalein,total_reef_extent_kmsq,353.967
Lae,total_reef_extent_kmsq,16.398
Lamotrek,total_reef_extent_kmsq,28.455
Laualau,total_reef_extent_kmsq,10.607
Laysan,total_reef_extent_kmsq,2.131
Leli,total_reef_extent_kmsq,10.33
Lib,total_reef_extent_kmsq,1.885
Lihou,total_reef_extent_kmsq,258.175
Likiep,total_reef_extent_kmsq,112.077
Liot,total_reef_extent_kmsq,3.748
Lisianski,total_reef_extent_kmsq,151.047
Long_Reef,total_reef_extent_kmsq,499.267
Loraine_Anobat,total_reef_extent_kmsq,4.125
Losap,total_reef_extent_kmsq,24.059
Losiep,total_reef_extent_kmsq,8.275
Lukunor,total_reef_extent_kmsq,32.748
Mabui,total_reef_extent_kmsq,7.355
Maiana,total_reef_extent_kmsq,161.811
Majuro,total_reef_extent_kmsq,102.974
Makemo,total_reef_extent_kmsq,330.468
Makin,total_reef_extent_kmsq,11.703
Makunudhoo,total_reef_extent_kmsq,124.658
Malden,total_reef_extent_kmsq,5.603
Maloelap,total_reef_extent_kmsq,136.868
Malum,total_reef_extent_kmsq,24.589
Manihi,total_reef_extent_kmsq,65.228
Manihiki,total_reef_extent_kmsq,43.272
Manra,total_reef_extent_kmsq,4.072
Manuae,total_reef_extent_kmsq,17.766
Manuhangi,total_reef_extent_kmsq,7.627
Marakei,total_reef_extent_kmsq,30.13
Maria,total_reef_extent_kmsq,12.136
Maria_Est,total_reef_extent_kmsq,10.075
Marokau,total_reef_extent_kmsq,97.433
Marutea_Nord,total_reef_extent_kmsq,249.382
Marutea_Sud,total_reef_extent_kmsq,47.296
Mataiva,total_reef_extent_kmsq,38.434
Matureivavao,total_reef_extent_kmsq,13.179
Maupihaa,total_reef_extent_kmsq,34.786
Mellish,total_reef_extent_kmsq,28.39
Midway,total_reef_extent_kmsq,73.277
Mili,total_reef_extent_kmsq,205.028
Minicoy,total_reef_extent_kmsq,42.276
Mokil,total_reef_extent_kmsq,6.402
Morane,total_reef_extent_kmsq,11.907
Moruroa,total_reef_extent_kmsq,56.838
Motu_One,total_reef_extent_kmsq,12.251
Motutunga,total_reef_extent_kmsq,73.452
Mulaku,total_reef_extent_kmsq,256.039
Murilo,total_reef_extent_kmsq,86.994
Namoluk,total_reef_extent_kmsq,11.002
Namonuito,total_reef_extent_kmsq,128.005
Namorik,total_reef_extent_kmsq,17.293
Namu,total_reef_extent_kmsq,139.88
Nanumanga,total_reef_extent_kmsq,4.011
Nanumea,total_reef_extent_kmsq,22.935
Napuka,total_reef_extent_kmsq,29.305
Nengonengo,total_reef_extent_kmsq,50.89
Ngcheangel,total_reef_extent_kmsq,22.506
Ngulu,total_reef_extent_kmsq,84.221
Niau,total_reef_extent_kmsq,8.597
Nihiru,total_reef_extent_kmsq,65.001
Nikumaroro,total_reef_extent_kmsq,12.342
Nikunau,total_reef_extent_kmsq,15.422
Ninigo,total_reef_extent_kmsq,220.149
Nissan,total_reef_extent_kmsq,25.432
Niulakita,total_reef_extent_kmsq,69.852
Niutao,total_reef_extent_kmsq,2.72
Nomwin,total_reef_extent_kmsq,77.705
Nonouti,total_reef_extent_kmsq,492.491
North_Keeling,total_reef_extent_kmsq,5.185
North_Maalhosmadulu,total_reef_extent_kmsq,313.439
North_Male,total_reef_extent_kmsq,451.895
North_Nilandhe,total_reef_extent_kmsq,202.84
North_Tubbataha,total_reef_extent_kmsq,52.093
Nuguria,total_reef_extent_kmsq,134.25
Nui,total_reef_extent_kmsq,18.97
Nukapu,total_reef_extent_kmsq,7.609
Nukufetau,total_reef_extent_kmsq,53.202
Nukulaelae,total_reef_extent_kmsq,33.871
Nukumanu,total_reef_extent_kmsq,126.641
Nukumbasanga,total_reef_extent_kmsq,17.937
Nukunonu,total_reef_extent_kmsq,54.872
Nukuoro,total_reef_extent_kmsq,18.3
Nukusemanu,total_reef_extent_kmsq,112.372
Nukutepipi,total_reef_extent_kmsq,4.65
Numa_Miombilou,total_reef_extent_kmsq,145.145
Nupani,total_reef_extent_kmsq,22.656
Oeno,total_reef_extent_kmsq,12.697
Olimarao,total_reef_extent_kmsq,9.065
Onotoa,total_reef_extent_kmsq,99.785
Ontong_Java,total_reef_extent_kmsq,517.321
Oroluk,total_reef_extent_kmsq,63.624
Orona,total_reef_extent_kmsq,33.69
Pakin,total_reef_extent_kmsq,18.051
Palmerston,total_reef_extent_kmsq,47.728
Palmyra,total_reef_extent_kmsq,34.495
Paraoa,total_reef_extent_kmsq,13.897
Pearl_and_Hermes,total_reef_extent_kmsq,372.489
Peremul_Par,total_reef_extent_kmsq,89.7
Peros_Banhos,total_reef_extent_kmsq,104.02
Pikelot,total_reef_extent_kmsq,0.568
Pinaki,total_reef_extent_kmsq,3.287
Pingelap,total_reef_extent_kmsq,6.127
Pinipel,total_reef_extent_kmsq,20.838
Platte,total_reef_extent_kmsq,88.814
Providence,total_reef_extent_kmsq,435.441
Pukapuka,total_reef_extent_kmsq,25.497
Puka-Puka,total_reef_extent_kmsq,9.216
Pukarua,total_reef_extent_kmsq,40.78
Pulap,total_reef_extent_kmsq,24.738
Pulusuk,total_reef_extent_kmsq,7.613
Puluwat,total_reef_extent_kmsq,9.072
Qelelevu,total_reef_extent_kmsq,72.243
Rakahanga,total_reef_extent_kmsq,8.572
Rangiroa,total_reef_extent_kmsq,302.138
Raraka,total_reef_extent_kmsq,76.91
Raroia,total_reef_extent_kmsq,203.631
Rasdhoo,total_reef_extent_kmsq,41.414
Ravahere,total_reef_extent_kmsq,53.483
Rawaki,total_reef_extent_kmsq,1.546
Reao,total_reef_extent_kmsq,48.487
Redlick,total_reef_extent_kmsq,33.757
Reitoru,total_reef_extent_kmsq,13.557
Rekareka,total_reef_extent_kmsq,4.027
Rongelap,total_reef_extent_kmsq,193.579
Rongerik,total_reef_extent_kmsq,78.466
Rose,total_reef_extent_kmsq,4.815
Rowa,total_reef_extent_kmsq,30.426
Saloman,total_reef_extent_kmsq,24.218
Sama,total_reef_extent_kmsq,7.561
Samasuma,total_reef_extent_kmsq,10.99
Sapwuahfik,total_reef_extent_kmsq,67.721
Satawan,total_reef_extent_kmsq,94.609
Scilly,total_reef_extent_kmsq,50.393
Sikaiana,total_reef_extent_kmsq,14.803
Sorol,total_reef_extent_kmsq,17.882
South_Keeling,total_reef_extent_kmsq,120.617
South_Maalhosmadulu,total_reef_extent_kmsq,253.839
South_Male,total_reef_extent_kmsq,205.343
South_Nilandhe,total_reef_extent_kmsq,224.624
South_Tubbataha,total_reef_extent_kmsq,16.056
St_Francois,total_reef_extent_kmsq,69.578
St_Joseph,total_reef_extent_kmsq,28.738
Starbuck,total_reef_extent_kmsq,6.402
Suheli_Par,total_reef_extent_kmsq,95.202
Surprise,total_reef_extent_kmsq,117.51
Suwarrow,total_reef_extent_kmsq,55.936
Swains,total_reef_extent_kmsq,3.172
Tabiteuea,total_reef_extent_kmsq,586.542
Tabuaeran,total_reef_extent_kmsq,131.95
Taenga,total_reef_extent_kmsq,66.184
Tahanea,total_reef_extent_kmsq,215.26
Taiaro,total_reef_extent_kmsq,6.449
Taka,total_reef_extent_kmsq,64.575
Takapoto,total_reef_extent_kmsq,51.025
Takaroa,total_reef_extent_kmsq,56.416
Takume,total_reef_extent_kmsq,45.695
Takuu,total_reef_extent_kmsq,50.181
Tarawa,total_reef_extent_kmsq,304.248
Tatakoto,total_reef_extent_kmsq,31.096
Tauere,total_reef_extent_kmsq,13.247
Tekokota,total_reef_extent_kmsq,9.202
Temitangi,total_reef_extent_kmsq,24.148
Temoe,total_reef_extent_kmsq,21.557
Tenararo,total_reef_extent_kmsq,4.458
Tenaruga,total_reef_extent_kmsq,8.126
Tepoto,total_reef_extent_kmsq,4.828
Teraina,total_reef_extent_kmsq,9.868
Tetiaroa,total_reef_extent_kmsq,32.732
Thiladhunmathi,total_reef_extent_kmsq,287.427
Thoddoo,total_reef_extent_kmsq,4.308
Tikehau,total_reef_extent_kmsq,152.664
Tilianu,total_reef_extent_kmsq,2.171
Toau,total_reef_extent_kmsq,220.239
Tongareva,total_reef_extent_kmsq,87.307
Torlesse,total_reef_extent_kmsq,13.852
Tuanake,total_reef_extent_kmsq,24.804
Tupai,total_reef_extent_kmsq,26.308
Tureia,total_reef_extent_kmsq,24.629
Ujae,total_reef_extent_kmsq,100.398
Ujelang,total_reef_extent_kmsq,52.633
Ulithi,total_reef_extent_kmsq,112.802
Utirik,total_reef_extent_kmsq,51.988
Vahanga,total_reef_extent_kmsq,7.415
Vahitahi,total_reef_extent_kmsq,17.133
Vairaatea,total_reef_extent_kmsq,13.869
Vaitupu,total_reef_extent_kmsq,7.295
Vanavana,total_reef_extent_kmsq,5.995
Vattaru,total_reef_extent_kmsq,24.421
Wailagilala,total_reef_extent_kmsq,17.241
Wake,total_reef_extent_kmsq,15.595
West_Fayu,total_reef_extent_kmsq,13.544
Willis,total_reef_extent_kmsq,95.989
Woleai,total_reef_extent_kmsq,34.42
Wotho,total_reef_extent_kmsq,73.07
Wotje,total_reef_extent_kmsq,141.659
Zohhoiiyoru,total_reef_extent_kmsq,22.835
Abaiang,reef_slope_kmsq,16.79
Abariringa,reef_slope_kmsq,2.62
Abemama,reef_slope_kmsq,9.42
Addu,reef_slope_kmsq,8.9
Agatti,reef_slope_kmsq,3.03
Ahe,reef_slope_kmsq,1.27
Ahunui,reef_slope_kmsq,0.42
Ailinginae,reef_slope_kmsq,8.56
Ailinglaplap,reef_slope_kmsq,20.58
Ailuk,reef_slope_kmsq,9.22
Aldabra,reef_slope_kmsq,7.46
Alphonse,reef_slope_kmsq,2.0
Amanu,reef_slope_kmsq,1.71
Anaa,reef_slope_kmsq,1.7
Analtin,reef_slope_kmsq,0.45
Ant,reef_slope_kmsq,1.16
Anuanuraro,reef_slope_kmsq,0.54
Anuanurunga,reef_slope_kmsq,0.34
Apataki,reef_slope_kmsq,2.98
Aranuka,reef_slope_kmsq,4.01
Aratika,reef_slope_kmsq,2.02
Ari,reef_slope_kmsq,41.37
Arno,reef_slope_kmsq,19.31
Arutua,reef_slope_kmsq,2.92
Ashmore,reef_slope_kmsq,5.3
Astove,reef_slope_kmsq,3.53
Atafu,reef_slope_kmsq,0.99
Aur,reef_slope_kmsq,10.34
Awin,reef_slope_kmsq,0.32
Bangaram,reef_slope_kmsq,3.1
Beautemps-Beaupre,reef_slope_kmsq,0.0
Bellona,reef_slope_kmsq,14.17
Beru,reef_slope_kmsq,4.88
Bikar,reef_slope_kmsq,1.06
Bikini,reef_slope_kmsq,20.36
Birnie,reef_slope_kmsq,0.68
Bitra_Par,reef_slope_kmsq,9.93
Bokaak,reef_slope_kmsq,5.44
Bramble_Haven,reef_slope_kmsq,2.92
Budibudi,reef_slope_kmsq,1.11
Butaritari,reef_slope_kmsq,18.5
Byramgore,reef_slope_kmsq,19.68
Caroline,reef_slope_kmsq,0.36
Cato,reef_slope_kmsq,0.93
Cherbaniani,reef_slope_kmsq,3.82
Chesterfield,reef_slope_kmsq,25.47
Chetlat,reef_slope_kmsq,1.97
Clipperton,reef_slope_kmsq,0.93
Conflict,reef_slope_kmsq,4.94
Cosmoledo,reef_slope_kmsq,8.84
Desroches,reef_slope_kmsq,5.13
Diego_Garcia,reef_slope_kmsq,12.87
Ducie,reef_slope_kmsq,0.38
Eauripik,reef_slope_kmsq,0.83
Ebon,reef_slope_kmsq,2.72
Egmont,reef_slope_kmsq,3.52
Egum,reef_slope_kmsq,5.39
Elato,reef_slope_kmsq,3.18
Enderbury,reef_slope_kmsq,0.91
Eniwetok,reef_slope_kmsq,23.74
Erikub,reef_slope_kmsq,15.5
Etal,reef_slope_kmsq,0.74
Europa,reef_slope_kmsq,3.36
Faadhippolhu,reef_slope_kmsq,12.98
Faaite,reef_slope_kmsq,3.21
Fakahina,reef_slope_kmsq,0.55
Fakaofo,reef_slope_kmsq,1.53
Fakarava,reef_slope_kmsq,5.49
Fangatau,reef_slope_kmsq,0.45
Fangataufa,reef_slope_kmsq,0.86
Faraulep,reef_slope_kmsq,1.11
Farquhar,reef_slope_kmsq,17.6
Fasdhuthere,reef_slope_kmsq,1.63
Felidhu,reef_slope_kmsq,11.81
French_Frigate_Shoals,reef_slope_kmsq,32.43
Funafuti,reef_slope_kmsq,0.07
Fuvahmulah,reef_slope_kmsq,0.98
Gaafaru,reef_slope_kmsq,1.16
Glorioso,reef_slope_kmsq,5.19
Goidhoo,reef_slope_kmsq,4.6
Great_Chagos_Bank,reef_slope_kmsq,8.37
Haddhunmathi,reef_slope_kmsq,19.39
Hao,reef_slope_kmsq,4.12
Haraiki,reef_slope_kmsq,0.8
Helen,reef_slope_kmsq,2.29
Hereheretue,reef_slope_kmsq,2.01
Hikueru,reef_slope_kmsq,0.26
Hiti,reef_slope_kmsq,0.55
Huon,reef_slope_kmsq,0.38
Huvadhu,reef_slope_kmsq,38.33
Ifalik,reef_slope_kmsq,0.89
Ihavandhippolu,reef_slope_kmsq,11.15
Jaluit,reef_slope_kmsq,16.81
Jemo,reef_slope_kmsq,0.53
Johnston,reef_slope_kmsq,1.41
Kaashidhoo,reef_slope_kmsq,1.24
Kademat,reef_slope_kmsq,4.89
Kalpeni,reef_slope_kmsq,5.21
Kapingamarangi,reef_slope_kmsq,0.75
Katiu,reef_slope_kmsq,2.19
Kauehi,reef_slope_kmsq,1.87
Kaukura,reef_slope_kmsq,4.17
Kavaratti,reef_slope_kmsq,2.75
Kilinailau,reef_slope_kmsq,1.54
Kiltan,reef_slope_kmsq,1.71
Kiritimati,reef_slope_kmsq,17.18
Kolhumadulu,reef_slope_kmsq,15.76
Kuop,reef_slope_kmsq,1.8
Kure,reef_slope_kmsq,4.17
Kuria,reef_slope_kmsq,4.1
Kurimarau,reef_slope_kmsq,0.0
Kwajalein,reef_slope_kmsq,82.41
Lae,reef_slope_kmsq,1.75
Lamotrek,reef_slope_kmsq,0.67
Laualau,reef_slope_kmsq,0.48
Laysan,reef_slope_kmsq,0.05
Leli,reef_slope_kmsq,1.75
Lib,reef_slope_kmsq,0.25
Lihou,reef_slope_kmsq,26.03
Likiep,reef_slope_kmsq,13.11
Liot,reef_slope_kmsq,0.2
Lisianski,reef_slope_kmsq,21.03
Long_Reef,reef_slope_kmsq,22.31
Loraine_Anobat,reef_slope_kmsq,0.0
Losap,reef_slope_kmsq,0.85
Losiep,reef_slope_kmsq,1.04
Lukunor,reef_slope_kmsq,1.13
Mabui,reef_slope_kmsq,0.0
Maiana,reef_slope_kmsq,20.17
Majuro,reef_slope_kmsq,11.7
Makemo,reef_slope_kmsq,5.02
Makin,reef_slope_kmsq,1.2
Makunudhoo,reef_slope_kmsq,17.08
Malden,reef_slope_kmsq,0.46
Maloelap,reef_slope_kmsq,28.42
Malum,reef_slope_kmsq,0.69
Manihi,reef_slope_kmsq,1.62
Manihiki,reef_slope_kmsq,0.85
Manra,reef_slope_kmsq,0.7
Manuae,reef_slope_kmsq,0.8
Manuhangi,reef_slope_kmsq,0.61
Marakei,reef_slope_kmsq,2.1
Maria,reef_slope_kmsq,1.19
Maria_Est,reef_slope_kmsq,0.46
Marokau,reef_slope_kmsq,2.59
Marutea_Nord,reef_slope_kmsq,3.61
Marutea_Sud,reef_slope_kmsq,2.12
Mataiva,reef_slope_kmsq,0.84
Matureivavao,reef_slope_kmsq,1.2
Maupihaa,reef_slope_kmsq,1.31
Mellish,reef_slope_kmsq,1.74
Midway,reef_slope_kmsq,5.35
Mili,reef_slope_kmsq,25.91
Minicoy,reef_slope_kmsq,6.67
Mokil,reef_slope_kmsq,0.03
Morane,reef_slope_kmsq,0.93
Moruroa,reef_slope_kmsq,4.16
Motu_One,reef_slope_kmsq,0.53
Motutunga,reef_slope_kmsq,2.2
Mulaku,reef_slope_kmsq,16.58
Murilo,reef_slope_kmsq,5.36
Namoluk,reef_slope_kmsq,0.25
Namonuito,reef_slope_kmsq,5.95
Namorik,reef_slope_kmsq,2.11
Namu,reef_slope_kmsq,22.61
Nanumanga,reef_slope_kmsq,1.04
Nanumea,reef_slope_kmsq,2.65
Napuka,reef_slope_kmsq,0.9
Nengonengo,reef_slope_kmsq,1.53
Ngcheangel,reef_slope_kmsq,2.32
Ngulu,reef_slope_kmsq,3.46
Niau,reef_slope_kmsq,1.0
Nihiru,reef_slope_kmsq,1.35
Nikumaroro,reef_slope_kmsq,0.56
Nikunau,reef_slope_kmsq,3.43
Ninigo,reef_slope_kmsq,3.13
Nissan,reef_slope_kmsq,0.32
Niulakita,reef_slope_kmsq,5.11
Niutao,reef_slope_kmsq,0.97
Nomwin,reef_slope_kmsq,5.25
Nonouti,reef_slope_kmsq,48.78
North_Keeling,reef_slope_kmsq,0.19
North_Maalhosmadulu,reef_slope_kmsq,20.54
North_Male,reef_slope_kmsq,24.06
North_Nilandhe,reef_slope_kmsq,10.29
North_Tubbataha,reef_slope_kmsq,0.0
Nuguria,reef_slope_kmsq,3.65
Nui,reef_slope_kmsq,1.87
Nukapu,reef_slope_kmsq,0.0
Nukufetau,reef_slope_kmsq,0.1
Nukulaelae,reef_slope_kmsq,0.86
Nukumanu,reef_slope_kmsq,2.92
Nukumbasanga,reef_slope_kmsq,0.61
Nukunonu,reef_slope_kmsq,2.04
Nukuoro,reef_slope_kmsq,1.02
Nukusemanu,reef_slope_kmsq,16.42
Nukutepipi,reef_slope_kmsq,0.38
Numa_Miombilou,reef_slope_kmsq,0.02
Nupani,reef_slope_kmsq,0.0
Oeno,reef_slope_kmsq,0.6
Olimarao,reef_slope_kmsq,1.31
Onotoa,reef_slope_kmsq,9.78
Ontong_Java,reef_slope_kmsq,3.05
Oroluk,reef_slope_kmsq,0.89
Orona,reef_slope_kmsq,2.11
Pakin,reef_slope_kmsq,0.35
Palmerston,reef_slope_kmsq,2.15
Palmyra,reef_slope_kmsq,5.76
Paraoa,reef_slope_kmsq,0.61
Pearl_and_Hermes,reef_slope_kmsq,12.29
Peremul_Par,reef_slope_kmsq,12.22
Peros_Banhos,reef_slope_kmsq,7.47
Pinaki,reef_slope_kmsq,0.34
Pingelap,reef_slope_kmsq,0.49
Pinipel,reef_slope_kmsq,0.09
Platte,reef_slope_kmsq,9.53
Providence,reef_slope_kmsq,49.85
Pukapuka,reef_slope_kmsq,0.73
Puka-Puka,reef_slope_kmsq,0.96
Pukarua,reef_slope_kmsq,1.84
Pulap,reef_slope_kmsq,2.33
Pulusuk,reef_slope_kmsq,0.65
Puluwat,reef_slope_kmsq,0.54
Qelelevu,reef_slope_kmsq,4.61
Rakahanga,reef_slope_kmsq,0.35
Rangiroa,reef_slope_kmsq,5.91
Raraka,reef_slope_kmsq,2.41
Raroia,reef_slope_kmsq,2.43
Rasdhoo,reef_slope_kmsq,1.98
Ravahere,reef_slope_kmsq,1.78
Reao,reef_slope_kmsq,1.02
Redlick,reef_slope_kmsq,0.45
Reitoru,reef_slope_kmsq,0.33
Rekareka,reef_slope_kmsq,0.42
Rongelap,reef_slope_kmsq,24.25
Rongerik,reef_slope_kmsq,17.94
Rose,reef_slope_kmsq,0.03
Rowa,reef_slope_kmsq,0.0
Saloman,reef_slope_kmsq,2.82
Sama,reef_slope_kmsq,0.0
Samasuma,reef_slope_kmsq,0.0
Sapwuahfik,reef_slope_kmsq,1.45
Satawan,reef_slope_kmsq,3.0
Scilly,reef_slope_kmsq,1.8
Sikaiana,reef_slope_kmsq,0.29
Sorol,reef_slope_kmsq,1.13
South_Keeling,reef_slope_kmsq,6.86
South_Maalhosmadulu,reef_slope_kmsq,12.18
South_Male,reef_slope_kmsq,9.17
South_Nilandhe,reef_slope_kmsq,12.89
South_Tubbataha,reef_slope_kmsq,0.0
St_Francois,reef_slope_kmsq,7.18
St_Joseph,reef_slope_kmsq,3.69
Starbuck,reef_slope_kmsq,0.17
Suheli_Par,reef_slope_kmsq,13.76
Surprise,reef_slope_kmsq,1.07
Suwarrow,reef_slope_kmsq,1.49
Swains,reef_slope_kmsq,0.28
Tabiteuea,reef_slope_kmsq,47.63
Tabuaeran,reef_slope_kmsq,7.93
Taenga,reef_slope_kmsq,1.84
Tahanea,reef_slope_kmsq,3.21
Taiaro,reef_slope_kmsq,0.4
Taka,reef_slope_kmsq,14.21
Takapoto,reef_slope_kmsq,0.63
Takaroa,reef_slope_kmsq,1.3
Takume,reef_slope_kmsq,1.05
Takuu,reef_slope_kmsq,0.6
Tarawa,reef_slope_kmsq,18.38
Tatakoto,reef_slope_kmsq,1.18
Tauere,reef_slope_kmsq,0.26
Tekokota,reef_slope_kmsq,0.73
Temitangi,reef_slope_kmsq,2.24
Temoe,reef_slope_kmsq,2.01
Tenararo,reef_slope_kmsq,0.42
Tenaruga,reef_slope_kmsq,0.5
Tepoto,reef_slope_kmsq,0.2
Teraina,reef_slope_kmsq,2.16
Tetiaroa,reef_slope_kmsq,0.83
Thiladhunmathi,reef_slope_kmsq,30.66
Thoddoo,reef_slope_kmsq,0.57
Tikehau,reef_slope_kmsq,2.33
Tilianu,reef_slope_kmsq,0.0
Toau,reef_slope_kmsq,3.13
Tongareva,reef_slope_kmsq,3.29
Torlesse,reef_slope_kmsq,0.0
Tuanake,reef_slope_kmsq,0.7
Tupai,reef_slope_kmsq,0.84
Tureia,reef_slope_kmsq,1.17
Ujae,reef_slope_kmsq,13.89
Ujelang,reef_slope_kmsq,5.25
Ulithi,reef_slope_kmsq,8.9
Utirik,reef_slope_kmsq,8.18
Vahanga,reef_slope_kmsq,0.54
Vahitahi,reef_slope_kmsq,0.79
Vairaatea,reef_slope_kmsq,0.6
Vaitupu,reef_slope_kmsq,0.0
Vanavana,reef_slope_kmsq,0.44
Vattaru,reef_slope_kmsq,0.62
Wailagilala,reef_slope_kmsq,0.94
Wake,reef_slope_kmsq,0.48
West_Fayu,reef_slope_kmsq,1.47
Willis,reef_slope_kmsq,4.68
Woleai,reef_slope_kmsq,2.5
Wotho,reef_slope_kmsq,12.01
Wotje,reef_slope_kmsq,19.32
Zohhoiiyoru,reef_slope_kmsq,0.74
Abaiang,reef_slope_perc,7.77
Abariringa,reef_slope_perc,4.87
Abemama,reef_slope_perc,6.45
Addu,reef_slope_perc,18.14
Agatti,reef_slope_perc,12.38
Ahe,reef_slope_perc,5.64
Ahunui,reef_slope_perc,22.12
Ailinginae,reef_slope_perc,14.19
Ailinglaplap,reef_slope_perc,20.93
Ailuk,reef_slope_perc,14.03
Aldabra,reef_slope_perc,3.4
Alphonse,reef_slope_perc,10.48
Amanu,reef_slope_perc,7.19
Anaa,reef_slope_perc,3.03
Analtin,reef_slope_perc,1.32
Ant,reef_slope_perc,4.24
Anuanuraro,reef_slope_perc,8.32
Anuanurunga,reef_slope_perc,10.98
Apataki,reef_slope_perc,5.64
