atoll,species,population
Tongareva,Anous_minutus,1376.0
Tuanake,Anous_minutus,0.0
Tubbataha,Anous_minutus,2876.0
Tupai,Anous_minutus,0.0
Tureia,Anous_minutus,0.0
Ujae,Anous_minutus,1890.0
Ujelang,Anous_minutus,1411.0
Ulithi,Anous_minutus,4483.0
Utirik,Anous_minutus,0.0
Vahanga,Anous_minutus,10.0
Vahitahi,Anous_minutus,292.0
Vairaatea,Anous_minutus,325.0
Vaitupu,Anous_minutus,639.0
Vanavana,Anous_minutus,0.0
Vattaru,Anous_minutus,0.0
Wailagilala,Anous_minutus,2615.0
Wake,Anous_minutus,2000.0
West_Fayu,Anous_minutus,1599.0
Woleai,Anous_minutus,3166.0
Wotho,Anous_minutus,1805.0
Wotje,Anous_minutus,1734.0
Abaiang,Gygis_alba,293.0
Abariringa,Gygis_alba,20.0
Abemama,Gygis_alba,457.0
Addu,Gygis_alba,554.0
Ahe,Gygis_alba,0.0
Ahunui,Gygis_alba,260.0
Ailinginae,Gygis_alba,350.0
Ailinglaplap,Gygis_alba,615.0
Ailuk,Gygis_alba,970.0
Aldabra,Gygis_alba,750.0
Alphonse,Gygis_alba,0.0
Amanu,Gygis_alba,1358.0
Anaa,Gygis_alba,688.0
Analtin,Gygis_alba,0.0
Ant,Gygis_alba,104.0
Anuanuraro,Gygis_alba,351.0
Anuanurunga,Gygis_alba,296.0
Apataki,Gygis_alba,408.0
Aranuka,Gygis_alba,345.0
Aratika,Gygis_alba,440.0
Ari,Gygis_alba,0.0
Arno,Gygis_alba,462.0
Arutua,Gygis_alba,0.0
Astove,Gygis_alba,0.0
Atafu,Gygis_alba,10000.0
Aur,Gygis_alba,484.0
Awin,Gygis_alba,0.0
Bangaram,Gygis_alba,0.0
Beautemps-Beaupre,Gygis_alba,38.0
Bellona,Gygis_alba,0.0
Beru,Gygis_alba,648.0
Bikar,Gygis_alba,700.0
Bikini,Gygis_alba,2604.0
Birnie,Gygis_alba,27.0
Bitra_Par,Gygis_alba,0.0
Bokaak,Gygis_alba,600.0
Bramble_Haven,Gygis_alba,0.0
Budibudi,Gygis_alba,0.0
Butaritari,Gygis_alba,200.0
Byramgore,Gygis_alba,0.0
Caroline,Gygis_alba,7914.0
Cherbaniani,Gygis_alba,0.0
Chesterfield,Gygis_alba,0.0
Chetlat,Gygis_alba,0.0
Clipperton,Gygis_alba,10.0
Cocos,Gygis_alba,2000.0
Conflict,Gygis_alba,0.0
Cosmoledo,Gygis_alba,15.0
Diego_Garcia,Gygis_alba,450.0
Ducie,Gygis_alba,10000.0
Eauripik,Gygis_alba,109.0
Ebon,Gygis_alba,523.0
Egmont,Gygis_alba,94.0
Egum,Gygis_alba,0.0
Elato,Gygis_alba,0.0
Enderbury,Gygis_alba,100.0
Eniwetok,Gygis_alba,1400.0
Erikub,Gygis_alba,4130.0
Etal,Gygis_alba,0.0
Europa,Gygis_alba,0.0
Faadhippolhu,Gygis_alba,0.0
Faaite,Gygis_alba,10.0
Fakahina,Gygis_alba,1050.0
Fakaofo,Gygis_alba,475.0
Fakarava,Gygis_alba,289.0
Fangatau,Gygis_alba,0.0
Fangataufa,Gygis_alba,200.0
Faraulep,Gygis_alba,210.0
Farquhar,Gygis_alba,200.0
Felidhu,Gygis_alba,0.0
French_Frigate_Shoals,Gygis_alba,100.0
Funafuti,Gygis_alba,664.0
Gaafaru,Gygis_alba,0.0
Glorioso,Gygis_alba,0.0
Great_Chagos_Bank,Gygis_alba,450.0
Haddhunmathi,Gygis_alba,0.0
Hao,Gygis_alba,1741.0
Haraiki,Gygis_alba,100.0
Helen,Gygis_alba,35.0
Hereheretui,Gygis_alba,573.0
Hikueru,Gygis_alba,593.0
Hiti,Gygis_alba,183.0
Huon,Gygis_alba,0.0
Huvadhu,Gygis_alba,0.0
Ifalik,Gygis_alba,155.0
Ihavandhippolu,Gygis_alba,0.0
Jaluit,Gygis_alba,1020.0
Jemo,Gygis_alba,600.0
Johnston,Gygis_alba,900.0
Kademat,Gygis_alba,0.0
Kalpeni,Gygis_alba,0.0
Kapingamarangi,Gygis_alba,571.0
Katiu,Gygis_alba,449.0
Kauehi,Gygis_alba,512.0
Kaukura,Gygis_alba,381.0
Kavaratti,Gygis_alba,0.0
Kilinailau,Gygis_alba,0.0
Kiltan,Gygis_alba,0.0
Kiritimati,Gygis_alba,2500.0
Kolhumadulu,Gygis_alba,0.0
Kuop,Gygis_alba,0.0
Kure,Gygis_alba,300.0
Kuria,Gygis_alba,500.0
Kwajalein,Gygis_alba,160.0
Lae,Gygis_alba,405.0
Lamotrek,Gygis_alba,0.0
Laualau,Gygis_alba,0.0
Laysan,Gygis_alba,2000.0
Lib,Gygis_alba,180.0
Likiep,Gygis_alba,901.0
Liot,Gygis_alba,0.0
Lisianski,Gygis_alba,150.0
Long_Reef,Gygis_alba,0.0
Losap,Gygis_alba,0.0
Lukunor,Gygis_alba,189.0
Maalhosmadulu,Gygis_alba,0.0
Maiana,Gygis_alba,320.0
Majuro,Gygis_alba,425.0
Makemo,Gygis_alba,901.0
Makunudhoo,Gygis_alba,0.0
Malden,Gygis_alba,0.0
Maloelap,Gygis_alba,664.0
Malum,Gygis_alba,0.0
Manihi,Gygis_alba,502.0
Manihiki,Gygis_alba,667.0
Manra,Gygis_alba,200.0
Manuae,Gygis_alba,285.0
Manuhangi,Gygis_alba,193.0
Marakei,Gygis_alba,253.0
Maria,Gygis_alba,265.0
Maria_Est,Gygis_alba,639.0
Marokau,Gygis_alba,656.0
Marutea_Nord,Gygis_alba,387.0
Marutea_Sud,Gygis_alba,1153.0
Mataiva,Gygis_alba,339.0
Matureivavao,Gygis_alba,448.0
Maupihaa,Gygis_alba,138.0
McKean,Gygis_alba,200.0
Midway,Gygis_alba,15000.0
Miladhunmadulu,Gygis_alba,0.0
Mili,Gygis_alba,609.0
Minicoy,Gygis_alba,0.0
Mokil,Gygis_alba,204.0
Morane,Gygis_alba,1260.0
Moruroa,Gygis_alba,951.0
Motu_One,Gygis_alba,229.0
Motutunga,Gygis_alba,213.0
Mulaku,Gygis_alba,0.0
Murilo,Gygis_alba,0.0
Namoluk,Gygis_alba,178.0
Namonuito,Gygis_alba,310.0
Namorik,Gygis_alba,219.0
Namu,Gygis_alba,519.0
Nanumanga,Gygis_alba,182.0
Nanumea,Gygis_alba,227.0
Napuka,Gygis_alba,1202.0
Nengonengo,Gygis_alba,897.0
Ngcheangel,Gygis_alba,29.0
Ngulu,Gygis_alba,0.0
Niau,Gygis_alba,215.0
Nihiru,Gygis_alba,549.0
Nikumaroro,Gygis_alba,400.0
Nikunau,Gygis_alba,597.0
Ninigo,Gygis_alba,120.0
Niutao,Gygis_alba,180.0
Nomwin,Gygis_alba,0.0
Nonouti,Gygis_alba,706.0
North_Male,Gygis_alba,0.0
North_Nilandhe,Gygis_alba,0.0
Nuguria,Gygis_alba,52.0
Nui,Gygis_alba,392.0
Nukapu,Gygis_alba,33.0
Nukufetau,Gygis_alba,342.0
Nukulaelae,Gygis_alba,253.0
Nukumanu,Gygis_alba,133.0
Nukumbasanga,Gygis_alba,0.0
Nukunonu,Gygis_alba,10000.0
Nukuoro,Gygis_alba,0.0
Nukutepipi,Gygis_alba,334.0
Numa_Miombilou,Gygis_alba,15.0
Nupani,Gygis_alba,7.0
Oeno,Gygis_alba,2000.0
Olimarao,Gygis_alba,82.0
Onotoa,Gygis_alba,715.0
Ontong_Java,Gygis_alba,164.0
Oroluk,Gygis_alba,127.0
Orona,Gygis_alba,600.0
