species,atoll,source,Order,Family
"Gehyra mutilata (Wiegmann, 1834)",Ngcheangel,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Rangiroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Swains,"Amerson, A.B., et al. (1982) Wildlife and wildlife habitat of American Samoa. II. Accounts of flora and fauna",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Takapoto,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Tikehau,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Wake,"Bryan, E.H. (1959) Notes on the greography and natural history of Wake Island",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Ailinginae,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Anaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Aratika,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Bikini,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Caroline,"Clapp, R.B., & Sibley, F.C. (1971) Notes on the vascular flora and terrestrial vertebrates of Caroline Atoll, Northern Line Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Eniwetok,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Funafuti,"Hedley, C. (1900) The atoll of Funafuti, Ellice Group - its zoology, botany, ethnology, and general structure",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Haraiki,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Jaluit,"Gressitt, J.L. (1961) Terrestrial fauna",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Kapingamarangi,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Lukunor,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Manihiki,"Bullivant, J.S., & McCann, C. (1974) Contributions to the natural history of Manihiki Atoll, Cook Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Maupihaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",McKean,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Moruroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Ngcheangel,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Nikumaroro,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Nukunonu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Nukutepipi,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Nupani,"Pierce, R. et al. (2017) Bird and invasive species work at Santa Cruz Islands, Solomon's, in October 2017",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Onotoa,"Moul, E.T. (1954) Preliminary report on land animals at Onotoa atoll, Gilbert Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Oroluk,"Buden, D.W. (1999) Reptiles, birds, and mammals of Oroluk atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Orona,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Rangiroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Raroia,"Morrison, J.P.E. (1954) Animal ecology of Raroia Atoll, Tuamotus",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Reitoru,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Rose,"Wegmann, A., & Holzwarth, S. (2006) Rose atoll national wildlife refuge research compendium",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Scilly,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Suwarrow,"Gill, B.J. (1998) Records of Cook Islands lizards",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Swains,"Amerson, A.B., et al. (1982) Wildlife and wildlife habitat of American Samoa. II. Accounts of flora and fauna",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tabuarean,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Taka,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Takapoto,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tekokota,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tenararo,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tetiaroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tikehau,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tongareva,"Clapp, R.B. (1977) Notes on the vertebrate fauna of Tongareva atoll",Squamata,Gekkonidae
"Gehyra oceanica (Lesson, 1830)",Tupai,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gekko smithii (Gray, 1842)",Kavaratti,"Ghosh, A.K. (1991) Fauna of Lakshadweep",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Abariringa,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Addu,"Das, I. (1994) Reptiles of South Asia: checklist and distributional summary",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Ashmore,"Somaweera, R., et al. (2020) Historical context, current status and management priorities for introduced Asian house geckos at Ashmore Reef",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Atafu,"Pierce, R., et al. (2012) A conservation survey of Tokelau",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Bikini,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Bokaak,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Cocos,"Gibson-Hill, C.A. (1950) A note on the reptiles occurring on the Cocos-Keeling Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Diego Garcia,"Cole, N. (2009) Herpetological observations on Eagle Island, Middle Brother, North Brother and Diego Garcia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Eniwetok,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Fakaofo,"Pierce, R., et al. (2012) A conservation survey of Tokelau",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Glorioso,"Sanchez, M., et al. (2019) Reptiles of the Iles Eparses, Indian Ocean: inventory, distribution, and conservation status",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Johnston,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Kavaratti,"Ghosh, A.K. (1991) Fauna of Lakshadweep",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Kure,"Woodward, P.W. (1972) The natural history of Kure Atoll, Northwestern Hawaiian Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Lukunor,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Midway,"Woodward, P.W. (1972) The natural history of Kure Atoll, Northwestern Hawaiian Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Nukunonu,"Pierce, R., et al. (2012) A conservation survey of Tokelau",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Palmyra,"Howald, G., et al. (2004) Palmyra atoll rat eradication assessment trip report August 2004",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Rongelap,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",St. Joseph,"Stoddart, D.R., Coe, M.J., & Fosberg, F.R. (1979) D'Arros and St. Joseph, Amirante Islands",Squamata,Gekkonidae
"Hemidactylus frenatus (Duméril & Bibron, 1836)",Utirik,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Hemidactylus garnotii (Duméril & Bibron, 1836)",Johnston,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Squamata,Gekkonidae
"Hemidactylus garnotii (Duméril & Bibron, 1836)",Laysan,"Ely, C.A., & Clapp, R.B. (1973) The natural history of Laysan Island, Northwestern Hawaiian Islands",Squamata,Gekkonidae
"Hemidactylus mabouia (Moreau de Jonnès, 1818)",Europa,"Le Corre, M., & Jouventin, P. (1997) Ecological significance and conservation priorities of Europa Island (Western Indian Ocean), with special reference to seabirds",Squamata,Gekkonidae
"Hemidactylus mercatorius (Gray, 1842)",Aldabra,"Arnold, N.E. (1976) Fossil reptiles from Aldabra Atoll, Indian Ocean",Squamata,Gekkonidae
"Hemidactylus mercatorius (Gray, 1842)",Astove,"Honegger, R.E. (1966) Beobachtungen an der Hereptofauna der Seychellen",Squamata,Gekkonidae
"Hemidactylus mercatorius (Gray, 1842)",Cosmoledo,"Bayne, C.J., et al. (1970) Geography and ecology of Cosmoledo atoll",Squamata,Gekkonidae
"Hemidactylus mercatorius (Gray, 1842)",Farquhar,"Boulenger, G.A. (1908) A list of the freshwater fishes, batrachians and reptiles obtained by Mr. J Stanley Gardiner's expedition to the Indian Ocean",Squamata,Gekkonidae
"Hemidactylus mercatorius (Gray, 1842)",Glorioso,"Sanchez, M., et al. (2019) Reptiles of the Iles Eparses, Indian Ocean: inventory, distribution, and conservation status",Squamata,Gekkonidae
"Hemidactylus parvimaculatus (Deraniyagala, 1953)",Addu,"Agarwal, I., Jablonski, D., & Bauer, A.M. (2019) The identity and probable origin of Hemidactylus geckos of the Maldives",Squamata,Gekkonidae
"Hemidactylus platycephalus (Peters, 1854)",Glorioso,"Sanchez, M., et al. (2019) Reptiles of the Iles Eparses, Indian Ocean: inventory, distribution, and conservation status",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Abariringa,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Ailinginae,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Anaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Aratika,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Atafu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Bikar,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Bikini,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Caroline,"Clapp, R.B., & Sibley, F.C. (1971) Notes on the vascular flora and terrestrial vertebrates of Caroline Atoll, Northern Line Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Cocos,"Gibson-Hill, C.A. (1950) A note on the reptiles occurring on the Cocos-Keeling Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Diego Garcia,"Cole, N. (2009) Herpetological observations on Eagle Island, Middle Brother, North Brother and Diego Garcia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Ducie,"Gill, B.J. (1993) The lizards of the Pitcairn Island Group, South Pacific",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Enderbury,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Eniwetok,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",French Frigate Shoals,"Amerson, A.B. (1971) The natural history of French Frigate Shoals, Northwestern Hawaiian Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Jaluit,"Gressitt, J.L. (1961) Terrestrial fauna",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Johnston,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Kapingamarangi,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Kiritimati,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Lukunor,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Malden,"Pierce, R., et al. (2015) Malden Island, Kiribati - feasibility of cat eradication for the recovery of seabirds",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Manihiki,"Bullivant, J.S., & McCann, C. (1974) Contributions to the natural history of Manihiki Atoll, Cook Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Maria,"Meyer, J.-Y. (2013) Rapport de mission sur l'atoll de Maria - inventaire floristique, observations ornithologiques et recommandations de gestion et de conservation",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Maupihaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",McKean,"Pierce, R., et al. (2008) Operational work undertaken to eradicate rats and rabbits in the Phoenix Islands, Kiribati, May-June 2008",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Moruroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Nikumaroro,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Nukunonu,"Whitaker, A.H. (1970) A note on the lizards of the Tokelau Islands, Polynesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Nukutepipi,"Salvat, F., & Salvat, B. (1992) Nukutipipi atoll, Tuamotu Archipelago - geomorphology, land and marine flora and fauna and interrelationships",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Oeno,"Gill, B.J. (1993) The lizards of the Pitcairn Island Group, South Pacific",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Onotoa,"Moul, E.T. (1954) Preliminary report on land animals at Onotoa atoll, Gilbert Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Oroluk,"Buden, D.W. (1999) Reptiles, birds, and mammals of Oroluk atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Palmyra,"Howald, G., et al. (2004) Palmyra atoll rat eradication assessment trip report August 2004",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Rangiroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Raroia,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Rongelap,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Rose,"Wegmann, A., & Holzwarth, S. (2006) Rose atoll national wildlife refuge research compendium",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Scilly,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Surprise,"Caut, S., Angulo, E., & Courchamp, F. (2009) Avoiding surprise effects on Surprise Island - alien species control in a multritrophic level perspective",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Swains,"Amerson, A.B., et al. (1982) Wildlife and wildlife habitat of American Samoa. II. Accounts of flora and fauna",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Reitoru,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Tabuarean,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Taka,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Takapoto,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Lepidodactylus lugubris (Duméril & Bibron, 1836)",Tetiaroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
