atoll,group,family,species,presence
Moruroa,Squamata,Scincidae,Ornithuroscincus_noctua,1
Namoluk,Squamata,Scincidae,Ornithuroscincus_noctua,1
Niau,Squamata,Scincidae,Ornithuroscincus_noctua,1
Nukunonu,Squamata,Scincidae,Ornithuroscincus_noctua,1
Nukutepipi,Squamata,Scincidae,Ornithuroscincus_noctua,1
Pakin,Squamata,Scincidae,Ornithuroscincus_noctua,1
Rangiroa,Squamata,Scincidae,Ornithuroscincus_noctua,1
Raroia,Squamata,Scincidae,Ornithuroscincus_noctua,1
Sapwuahfik,Squamata,Scincidae,Ornithuroscincus_noctua,1
Satawan,Squamata,Scincidae,Ornithuroscincus_noctua,1
Scilly,Squamata,Scincidae,Ornithuroscincus_noctua,1
Suwarrow,Squamata,Scincidae,Ornithuroscincus_noctua,1
Swains,Squamata,Scincidae,Ornithuroscincus_noctua,1
Takapoto,Squamata,Scincidae,Ornithuroscincus_noctua,1
Tetiaroa,Squamata,Scincidae,Ornithuroscincus_noctua,1
Tikehau,Squamata,Scincidae,Ornithuroscincus_noctua,1
Tupai,Squamata,Scincidae,Ornithuroscincus_noctua,1
Addu,Squamata,Scincidae,Riopa_albopunctata,1
Ngcheangel,Squamata,Scincidae,Sphenomorphus_scutatus,1
Europa,Squamata,Scincidae,Trachylepis_infralineata,1
St_Joseph,Squamata,Scincidae,Trachylepis_sechellensis,1
Addu,Squamata,Typhlopidae,Indotyphlops_braminus,1
Arno,Squamata,Typhlopidae,Indotyphlops_braminus,1
Eniwetok,Squamata,Typhlopidae,Indotyphlops_braminus,1
Jaluit,Squamata,Typhlopidae,Indotyphlops_braminus,1
Kavaratti,Squamata,Typhlopidae,Indotyphlops_braminus,1
Ngcheangel,Squamata,Typhlopidae,Indotyphlops_braminus,1
South_Keeling,Squamata,Typhlopidae,Indotyphlops_braminus,1
Addu,Testudines,Geoemydidae,Melanochelys_trijuga,1
Aldabra,Testudines,Testudinidae,Aldabrachelys_gigantea,1
