atoll,country,country_status,human_population,number_inhabited_islands
Tupai,French_Polynesia,nation_with_atolls,0.0,0
Tureia,French_Polynesia,nation_with_atolls,261.0,1
Ujae,Marshall_Islands,atoll_nation,310.0,1
Ujelang,Marshall_Islands,atoll_nation,0.0,0
Ulithi,Federated_States_Micronesia,nation_with_atolls,847.0,4
Utirik,Marshall_Islands,atoll_nation,264.0,1
Vahanga,French_Polynesia,nation_with_atolls,0.0,0
Vahitahi,French_Polynesia,nation_with_atolls,103.0,1
Vairaatea,French_Polynesia,nation_with_atolls,65.0,1
Vaitupu,Tuvalu,atoll_nation,1007.0,1
Vanavana,French_Polynesia,nation_with_atolls,0.0,0
Vattaru,Maldives,atoll_nation,0.0,0
Wailagilala,Fiji,nation_with_atolls,0.0,0
Wake,US,nation_with_atolls,0.0,0
West_Fayu,Federated_States_Micronesia,nation_with_atolls,0.0,0
Willis,Australia,nation_with_atolls,0.0,0
Woleai,Federated_States_Micronesia,nation_with_atolls,1039.0,5
Wotho,Marshall_Islands,atoll_nation,88.0,1
Wotje,Marshall_Islands,atoll_nation,816.0,2
Zohhoiiyoru,Federated_States_Micronesia,nation_with_atolls,0.0,0
