atoll,nppv,chl,phyc,temp,velo
Rakahanga,1.288549007,0.087231578,0.740727651,28.40531145,0.047237093
Rangiroa,1.913128728,0.128219491,0.841368681,28.37274745,0.042028811
Raraka,1.695301826,0.114809381,0.823253139,28.36344281,0.042616674
Raroia,1.227449971,0.087384733,0.771714156,28.35928594,0.054093651
Rasdhoo,1.861842773,0.1185622,0.852317819,28.40305964,0.089112988
Ravahere,1.172334521,0.086512158,0.782120618,28.3436891,0.048229858
Rawaki,2.125781435,0.147998865,0.871230837,28.39647131,0.049338217
Reao,0.537690119,0.059362722,0.6867683,28.33036718,0.047455341
Redlick,1.858798965,0.125518433,0.857654838,28.37714628,0.074163107
Reitoru,1.423860987,0.100196335,0.806037591,28.34724138,0.046500024
Rekareka,1.118739828,0.082135659,0.761524815,28.35338579,0.051716196
Rongelap,1.398362636,0.093635653,0.811407137,28.37968323,0.046625074
Rongerik,1.316294839,0.089768377,0.803756021,28.37815168,0.04601348
Rose,0.556126566,0.057494449,0.694707717,28.3884916,0.053459313
Rowa,1.005314861,0.075747311,0.754330309,28.38153762,0.062845198
Saloman,1.496155373,0.100267704,0.808150793,28.38926081,0.077238846
Sama,2.367364009,0.163415377,0.832623938,28.42056937,0.066826915
Samasuma,2.367364009,0.163415377,0.832623938,28.42056937,0.066826915
Sapwuahfik,1.309352621,0.087067007,0.75534976,28.41291873,0.07530674
Satawan,1.327678867,0.087052321,0.765348157,28.41546956,0.073957047
Scilly,0.866420732,0.070448695,0.739252498,28.367814,0.051533948
Sorol,1.212591754,0.082562865,0.784121002,28.40730612,0.095634129
South_Keeling,1.179126305,0.088048576,0.774178495,28.35520004,0.078501896
South_Maalhosmadulu,1.822301685,0.116405793,0.849726461,28.40208442,0.086965966
South_Nilandhe,1.817236486,0.115623799,0.837529421,28.40529881,0.100080532
South_Tubbataha,1.289778035,0.088320039,0.826632937,28.40157814,0.133969264
St_Francois,1.91706531,0.133864416,0.86247626,28.35889781,0.067072076
St_Joseph,1.959663734,0.135861825,0.867686676,28.36944533,0.080166822
Starbuck,2.14625037,0.152046599,0.882126397,28.38106165,0.048121232
Suheli_Par,1.561020677,0.102984896,0.867033086,28.39987529,0.120388069
Surprise,1.078371891,0.086780239,0.79695204,28.31297077,0.063905003
Suwarrow,0.645552891,0.05969509,0.69463596,28.39655459,0.047233975
Swains,0.813718641,0.065083886,0.678886491,28.40970424,0.048848074
Tabiteuea,2.314451684,0.158199371,0.889461381,28.40716237,0.075294185
Tabuaeran,2.191216282,0.158823008,0.874873129,28.36703044,0.098377266
Taenga,1.513274503,0.103611409,0.811893838,28.35866634,0.051777813
Tahanea,1.718339737,0.117664267,0.828089355,28.35735673,0.039401552
Taiaro,1.600166758,0.107170563,0.809554042,28.36645331,0.04194441
Taka,1.170529879,0.081790533,0.766037665,28.37697652,0.076579648
Takapoto,1.627202493,0.106480554,0.80993619,28.37237269,0.04601027
Takaroa,1.487026078,0.098514837,0.790176041,28.37315516,0.048076917
Takume,1.110616723,0.08138458,0.753780724,28.36054144,0.052845801
Takuu,2.334348144,0.157172276,0.856291311,28.42293567,0.081201046
Tarawa,2.97758235,0.24578877,0.979151089,28.40349209,0.07077714
Tatakoto,0.601812432,0.060767334,0.689744133,28.34451852,0.046310267
Tauere,1.058527392,0.079638168,0.758439407,28.34938517,0.051402087
Tekokota,1.368233261,0.096401345,0.799219243,28.35046916,0.049201075
Temitangi,0.581041388,0.063022898,0.694788201,28.29575908,0.064204004
Temoe,0.473566416,0.060189138,0.67774533,28.2622136,0.068798376
