species,atoll,status,reference,Order,Family
Cycas circinalis L.,Arno,I,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Cycadales,Cycadaceae
Cycas circinalis L.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Cycadales,Cycadaceae
Cycas circinalis L.,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Likiep,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Majuro,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Cycadales,Cycadaceae
Cycas circinalis L.,Mokil,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Cycadales,Cycadaceae
Cycas circinalis L.,Ngcheangel,I,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Cycadales,Cycadaceae
Cycas circinalis L.,Nui,I,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Cycadales,Cycadaceae
Cycas circinalis L.,Tarawa,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas revoluta Thunb.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Cycadales,Cycadaceae
Cycas revoluta Thunb.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Cycadales,Cycadaceae
Cycas revoluta Thunb.,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Cycadales,Cycadaceae
Cycas rumphii Miq.,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Cycadales,Cycadaceae
Cycas rumphii Miq.,Vaitupu,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Cycadales,Cycadaceae
Cycas sp.,Ontong Java,I,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Cycadales,Cycadaceae
Alocasia cucullata (Lour.) G.Don,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ailuk,I,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Anaa,I,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ant,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Arno,I,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Desroches,I,"Stoddart, D.R., & Poore, M.E.D. (1970) Geography and ecology of Desroches",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Diego Garcia,I,"Fosberg, F.R., & Bullock, A.A. (1971) List of Diego Garcia vascular plants",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Etal,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Glorioso,I,"Boullet, V., Hivert, J., & Gigord, L.D.B. (2018) An updated account of the vascular flora of the Iles Eparses (Southwest Indian Ocean)",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Kapingamarangi,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Kavaratti,I,"Sivadas, P., Narayanan, B., & Sviaprasad, K. (1983) An account of the vegetation of Kavaratti Island, Laccadives",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Kwajalein,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Losap,I,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Lukunor,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Majuro,I,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Mokil,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Murilo,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Namoluk,I,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Namonuito,I,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ngcheangel,I,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Niau,I,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Niutao,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Nomwin,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Nukulaelae,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Nukunonu,I,"Parham, P.E.V. (1971) The vegetation of the Tokelau Islands with special reference to the plants of Nukunonu Atoll",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ontong Java,I,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Pingelap,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Puluwat,I,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Satawan,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Swains,I,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ujelang,I,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Ulithi,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Alocasia macrorrhizos (L.) G.Don,Vaitupu,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Alocasia sanderiana W.Bull,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Alismatales,Araceae
Anthurium andraeanum Linden ex André,Johnston,I,"Binion Amerson, A., & Shelton, P.C. (1976) The natural history of Johnston atoll, Central Pacific Ocean",Alismatales,Araceae
Anthurium andraeanum Linden ex André,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Jaluit,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Niutao,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Nukulaelae,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Takapoto,I,"Sachet, M.-H. (1983) Takapoto atoll, Tuamotu Archipelago: terrestrial vegetation and flora",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Alismatales,Araceae
Caladium bicolor (Aiton) Vent.,Wake,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Addu,I,"Fosberg, F.R., Groves, E.W., & Sigee, D.C. (1966) List of Addu vascular plants",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Anaa,I,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Ant,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Arno,I,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Butaritari,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Etal,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Kapingamarangi,I,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Kavaratti,I,"Sivadas, P., Narayanan, B., & Sviaprasad, K. (1983) An account of the vegetation of Kavaratti Island, Laccadives",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Kiritimati,I,"Thaman, R.R., & Tye, A. (2015) Flora of Kiritimati (Christmas) Atoll, Northern Line Islands, Republic of Kiribati",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Lae,I,"Fosberg, F.R. (1955) Northern Marshall Islands Expedition, 1951-1952 - land biota: vascular plants",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Likiep,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Losap,I,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Lukunor,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Majuro,I,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Mokil,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Murilo,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Namoluk,I,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Namonuito,I,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Ngcheangel,I,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Niau,I,"Butaud, F.-J., & Jacq, F.A. (2014) Guide floristique - atolls soulevés des Tuamotu (Polynésie francaise)",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Niutao,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Nomwin,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Nui,I,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Nukulaelae,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Ontong Java,I,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Pingelap,I,"St. John, H. (1948) Report on the flora of Pingelap atoll, Caroline Islands, Micronesia and observations on the vocabulary of the native inhabitants",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Puluwat,I,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Satawan,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Scilly,I,"Sachet, M.-H. (1983) Végétation et flore terrestre de l'atoll de Scilly (Fenua Ura)",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Swains,I,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Tabiteuea,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Tabuaeran,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Takapoto,I,"Sachet, M.-H. (1983) Takapoto atoll, Tuamotu Archipelago: terrestrial vegetation and flora",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Tarawa,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Tetiaroa,I,"Sachet, M.-H., & Fosberg, F.R. (1983) An ecological reconnaissance of Tetiaroa Atoll, French Polynesia",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Alismatales,Araceae
Colocasia esculenta (L.) Schott,Ulithi,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ailuk,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ant,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Arno,I,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Etal,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Jaluit,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Kapingamarangi,I,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Kiritimati,I,"Thaman, R.R., & Tye, A. (2015) Flora of Kiritimati (Christmas) Atoll, Northern Line Islands, Republic of Kiribati",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Likiep,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Losap,I,"Manner, H.I., & Sana, D. (1995) The vascular plants of Losap Atoll",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Lukunor,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Majuro,I,"Velde, N.V. (2003) The vascular plants of Majuro Atoll, Republic of the Marshall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Mokil,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Murilo,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Namoluk,I,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk Atoll, Eastern Caroline Islands with identification of vascular flora",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Namonuito,I,"Stone, B.C. (1959) The flora of Namonuito and the Hall Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Niutao,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ngcheangel,I,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Nomwin,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Nui,I,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Nukulaelae,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Nukunonu,I,"Parham, P.E.V. (1971) The vegetation of the Tokelau Islands with special reference to the plants of Nukunonu Atoll",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Onotoa,I,"Moul, E.T. (1957) Preliminary report on the flora of Onotoa Atoll, Gilbert Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ontong Java,I,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Pingelap,I,"St. John, H. (1948) Report on the flora of Pingelap atoll, Caroline Islands, Micronesia and observations on the vocabulary of the native inhabitants",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Puluwat,I,"Manner, H.I., Mallon, E. (1989) An annotated list of the vascular plants of Puluwat atoll",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Sapwuahfik,I,"Buden, D.W. (1999) The birds of Sapwuahfik Atoll, with first record of the Grey Wagtail, Motacilla cinerea, from the Federated States of Micronesia",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Satawan,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Scilly,I,"Sachet, M.-H. (1983) Végétation et flore terrestre de l'atoll de Scilly (Fenua Ura)",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Swains,I,"Whistler, W.A. (1983) The flora and vegetation of Swains Island",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Tabiteuea,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Tabuaeran,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Teraina,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Tetiaroa,I,"Sachet, M.-H., & Fosberg, F.R. (1983) An ecological reconnaissance of Tetiaroa Atoll, French Polynesia",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ujae,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Ulithi,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Cyrtosperma merkusii (Hassk.) Schott,Wotho,I,"Fosberg, F.R. (1990) A review of the natural history of the Marshall Islands",Alismatales,Araceae
Dieffenbachia seguine (Jacq.) Schott,Funafuti,I,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Alismatales,Araceae
Dieffenbachia seguine (Jacq.) Schott,Haraiki,I,"Fontaine, B., et al. (2021) Mission Kivi Kuaka 2021 Rapport naturaliste",Alismatales,Araceae
Dieffenbachia seguine (Jacq.) Schott,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Dieffenbachia seguine (Jacq.) Schott,Tikehau,I,"Florence, J. (1985) Contribution à l'étude d'latoll de Tikehau - Introduction a la flore et a la vegetation",Alismatales,Araceae
Dieffenbachia seguine (Jacq.) Schott,Wake,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Eniwetok,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Ontong Java,I,"Bayliss-Smith, T. (1973) Ecosystem and economic system of Ontong Java Atoll, Solomon Islands",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Palmyra,I,"Wester, L. (1985) Checklist of the vascular flora of the Northern Line Islands",Alismatales,Araceae
Epipremnum aureum (Linden & André) G.S.Bunting,Wake,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Epipremnum pinnatum (L.) Engl.,Eniwetok,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
Epipremnum pinnatum (L.) Engl.,Jaluit,N,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Alismatales,Araceae
Epipremnum pinnatum (L.) Engl.,Kwajalein,N,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1987) A Geographical Checklist of the Micronesian Monocotyledonae",Alismatales,Araceae
